DR_ID	DR_N_2011	URBAN_AREA_FOOTPRINT	MACRO_AREA_FOOTPRINT	SHARE_UA_WITHIN_MA	MACRO_AREA_COMPACITY	AIR_FLOWS	BANKING	BICYCLE	BIG_HHLDS	CAR	CHILDREN	COAST_DIST	DENSITY	URB_DENS	EV_BANKING	EV_BICYCLE	EV_BIG_HHLDS	EV_CAR	EV_CHILDREN	EV_HOME_OWN	EV_HOME_OWN_SC	EV_LITERACY	EV_MALES_RATIO	EV_MOT_2W	EV_NO_ASSETS	EV_PHONE	EV_POPULATION	EV_RES_WELLF	EV_RES_WELLF_SC	EV_SEC_TER_FEM_WORKERS	EV_SEC_TER_WORKERS	EV_SMALL_HHLDS	HOME_OWN	HOME_OWN_SC	HW_DISTANCE	LITERACY	MALES_RATIO	METRO_DISTANCE	MOT_2W	NB_MAJOR_URB_AREAS	NB_URBAN_AREAS	NO_ASSETS	OUTLETS	PHONE	POPULATION	RAILWAY	RES_WELLF	RES_WELLF_SC	SEC_TER_FEM_WORKERS	SEC_TER_WORKERS	SEZ	SIZE_MAIN_MACRO_AREA	SMALL_HHLDS	UNIVERSITIES	POP_SC	EV_POP_SC
0	Adilabad	0,53	0,66	25,62	20,5	0	52,97	23,06	19,42	1,28	11,31	405	173,7931213	11929,56543	18,68	-4,58	-11	0,64	-3,83	1,06	0	9,41	-0,3169	8,14	-30,6	56,16	10,18	12,38	13,23	-0,86	-3,15	2,87	85,8	88,52	57	54,11	49,96	212	14,88	0	36	26,01	0	61,91	2741239	6	49,3	45,44	11,78	35,89	0	2	16,54	0	17,82	-0,71
1	Agra	3,64	32,5	92,57	10,37	0	65,45	66,04	54,25	6,69	15,25	738	1085,432861	19665,0332	25,4	-5,2	-5,66	2,78	-2,99	0,31	-0,34	9,48	-0,6522	14,89	-7,48	66,56	22,05	4,62	1,43	2,53	3,29	-0,56	93,07	93,8	11	60,66	53,52	192	36,24	1	79	6,67	19	77,44	4418797	23	34,42	23,83	9,7	62,59	0	6	7,11	3	22,43	0,66
2	Ahmadabad	3,33	7,31	90,02	40,97	4695115	67,33	45,53	28,83	11,7	11,68	36	910,0826416	23791,21875	21,81	-3,23	-3,63	5,61	-1,55	0,18	1,37	6,37	-0,351	14,52	-12,4	59,57	22,41	4,53	5,45	-0,56	2,31	-0,2	79,86	79,52	43	75,35	52,51	410	46,34	1	37	7,98	42	80,05	7214225	35	42,86	30,86	11,35	84,14	647,8538208	9	12,23	9	10,53	-0,01
3	Ahmadnagar	0,8	4,93	62,54	10,19	0	70,41	49,17	32,28	4,59	12,24	167	263,524292	14145,05762	21,51	-0,4	-4,18	1,58	-2,36	3	1,89	5,07	0,0157	18	-15,8	61,46	12,44	6,19	5,59	0,25	-1,61	0,78	84,84	80,65	111	69,38	51,57	192	35,53	1	111	15,74	11	70,88	4543159	16	31,37	26,1	6,82	28,69	0	1	12,81	1	12,63	0,63
4	Aizawl	1,46	2,62	50,76	28,34	99000	66,91	5,75	33,77	11,7	13,08	187	105,7061005	5760,551758	20,76	1,86	-6,26	5,79	-1,11	-2,17	2,52	2,27	-1,4611	10,84	-28,3	65,16	22,92	13,28	6,2	1,14	6,07	1,19	49,69	17,68	116	85,08	49,78	484	20,64	1	3	6,32	3	89,65	400309	0	60,25	63	25,71	70,97	0	1	13,69	1	0,16	0,1
5	Ajmer	1,49	1,46	45,88	46,96	0	76,51	38,71	39,87	5,06	14,76	473	300,634552	9847,716797	42,07	-11,4	-6,88	2,27	-2,37	2,14	0,49	5,53	-0,531	14,85	-14,4	62,95	18,57	3,56	3,59	0,1	5,62	0,82	90,32	90,94	5	59,1	51,26	359	36,26	1	30	14,51	8	75,06	2583052	12	41,46	33,41	9,58	57,83	0	1	12,46	1	18,51	0,77
6	Akola	1,15	0	0	NA	0	56,54	32,43	26,21	2,31	11,64	424	334,4222107	15644,66113	12,23	-2,02	-9,98	0,62	-2,83	1,53	0,98	8,17	-0,2038	6,23	-11,6	41,74	11,27	5,53	6,63	1,29	-0,14	1,97	86,86	88,27	61	77,8	51,4	398	18,53	1	29	31,83	7	49,91	1813906	15	37,79	30,89	5,68	32,54	100	0	13,9	0	20,07	9,74
7	Alappuzha	79,48	99,45	100	79,92	0	68,31	43,39	14,95	8,03	9,03	11	1561,107178	1960,537842	27,71	6,73	-6,21	4,97	-1,71	-2,47	-2,14	3,68	-0,4863	16,38	-21,8	70,87	0,88	9,77	12,32	-1,01	5,46	5,46	93,98	94,78	11	87,08	47,61	18	27,43	1	1	4,32	5	88,35	2127789	5	79,4	65,94	24,03	87,95	37,9700012	44	15,33	0	9,46	0,01
8	Aligarh	1,99	10,62	79,99	15,03	0	64,06	60,31	53,2	3,58	15,64	810	991,8706665	24306,33789	27,34	-4,08	-5,48	0,76	-3,18	-0,56	-1	9,48	-0,5866	11,98	-11,2	66,56	22,78	3,96	2,65	-0,78	5,62	-0,21	93,41	95,08	58	56,96	53,13	110	25,14	1	59	11,44	6	73,75	3673889	6	31,81	23,71	9,09	53,28	0	2	8,21	1	20,56	-0,64
9	Alirajpur	0,09	0,29	15,88	4,83	0	36,15	21,08	61,88	0,89	20,3	144	219,644165	29337,16211	15,6	-0,62	-6,57	-0,11	-1,78	0,44	0,29	11,3	-0,2804	3,41	-19,81	23,18	19,45	0,89	-0,95	0,62	2,23	0,42	95,91	94,5	101	28,77	49,73	390	7,51	0	6	57,57	0	25,38	728999	0	18,16	21,55	2,63	10,01	0	2	5,49	0	3,69	-0,14
10	Allahabad	1,7	13,63	79,27	9,91	99000	73,03	78,12	53,51	4,67	14,87	670	1156,641602	45720,51953	31,84	-2,01	-5,2	1,3	-3,36	1,72	0,81	10,78	-0,6123	9,16	-4,54	59,78	20,63	-0,58	-3,57	1,97	9,16	-0,87	95	96,25	15	61,56	52,6	595	27,07	1	62	7,31	0	68,64	5954391	28	45,03	34,75	10,81	51,92	0	8	8,79	4	22	0,42
11	Almora	0,51	0	0	NA	0	85,45	1,92	30,4	2,44	12,86	1049	200,6142426	3895,75	32,32	0,38	-8,44	1,13	-2,58	0,46	-0,38	7,85	0,159	2,47	-14,9	65,31	-1,28	5,21	1,2	1,52	3,2	2,56	88,8	91,32	123	70,12	46,76	251	4,82	0	2	20,27	2	70,81	622506	0	65,67	50,46	4,97	26,93	0	0	19,6	0	24,26	1,99
12	Alwar	1,39	0,85	15,86	26,14	0	59,5	38,59	45,47	4,8	16	693	440,9720459	9410,318359	24,61	-9,8	-9,83	3,2	-3,44	0,54	-0,43	9,67	-0,2483	15,38	-18,3	68,14	22,82	2,6	2,3	-0,99	5,56	0,63	94,63	96,34	41	59,4	52,77	128	28,53	1	53	15,19	7	75,92	3674179	7	39,35	26,17	6,2	34,7	20	4	8,71	0	17,77	-0,25
13	Ambala	4,85	7,05	79,74	54,9	0	73,2	64,25	32,88	12,55	11,32	979	628,6072388	6655,080566	22,16	-3,41	-8,48	7,72	-1,93	0,68	0,07	7,16	-0,4663	15,63	-7,62	56,46	11,23	8,16	8,1	-0,88	-1,27	0,58	88,38	90,51	13	72,5	53,06	196	44,42	1	12	4,48	13	81,77	1128350	5	53,43	37,39	9,46	69,37	0	3	9,02	1	26,25	1,17
14	Ambedkar Nagar	0,88	0,59	4,25	6,36	0	75,9	85,5	61,42	2,69	14,15	707	1038,046753	24765,43164	28,75	-1,4	-5,77	0,63	-5,25	0,24	0,28	14,92	-0,0065	8,88	-3,45	66,42	18,3	-3,75	-5,18	2,68	9,84	-0,27	98,19	98,99	38	62,01	50,56	588	16,52	0	22	6,05	0	70,11	2397888	4	33,04	26	7,23	34,6	0	5	7,06	0	24,65	0,21
15	Amravati	0,68	0	0	NA	0	54,27	33,16	22,93	2,4	10,78	476	236,0998077	17005,74219	13,5	1,88	-10,1	0,97	-2,94	1,05	-0,44	6,75	-0,347	7,52	-14,1	38,99	10,79	8,58	9,74	0,53	0,31	2,12	89,34	88,6	31	77,96	51,27	429	19,49	1	46	31,83	5	46,4	2888445	20	44,96	40,77	5,05	29,89	1010	0	14,48	1	17,53	0,4
16	Amreli	0,69	0	0	NA	0	63,21	32,81	39,22	3,48	11,46	54	201,9189301	10868,31055	26,06	-4,38	-7,95	1,21	-2,79	-0,76	-0,4	9,07	0,5891	19,22	-22,7	65,38	8,63	7,68	5,45	-2,28	-3,73	2,35	90,43	91,77	76	65,74	50,92	309	38,73	0	29	14,46	0	75,62	1514190	28	36,77	22,13	3,64	32,73	156	0	13,83	0	8,78	0,49
17	Amritsar	4,35	12,84	94,65	32,06	892104	57,79	59,62	34,72	11,7	11,31	1028	930,3907471	13111,62109	27,31	-5,55	-9,61	8,17	-2,29	0,6	-0,76	8,43	-0,5552	14,1	-10,79	64,86	15,47	4,82	4,1	0,83	3,76	0,42	89,54	91,16	69	67,64	52,93	412	46,86	1	24	4,06	20	79,03	2490656	5	48,2	28,58	12,66	73,17	102,0299988	2	7,65	1	30,95	1,2
18	Anand	3,22	58,81	99,77	5,46	0	56,16	40,37	32,17	4,53	12,14	20	725,6397095	15491,77441	17,92	8,03	-2,53	1,83	-1,61	-0,28	0,4	9,86	-0,394	9,56	-22,5	46,69	12,7	2,54	7,2	-6,81	-2,64	0,72	88,9	87,25	25	74,13	51,95	373	24,49	1	86	24,1	9	57,16	2092745	22	41,2	41,56	8,37	40,96	0	9	13,6	4	4,99	-0,31
19	Anantapur	0,7	0,54	19,83	25,57	0	63,47	21,48	18,08	1,03	10,93	268	211,7766571	18189,72266	30,42	0,1	-10,8	0,4	-2,25	-2,04	-2,61	7,89	-0,4947	7,92	-30,7	53,95	12,1	11,78	11,57	1,45	4,03	1,69	81,07	87,98	6	56,63	50,59	167	15	1	153	22,57	7	60,46	4081148	29	45,1	35,31	9,19	36,51	762,7000122	1	14,89	3	14,29	0,14
20	Anantnag	0,86	9,2	87,36	8,21	0	62,29	4,4	54,36	5,49	19,33	1255	422,3539429	24232,71484	27,31	-3,4	-6,57	3,29	-2,29	1,14	-0,76	11,3	-0,1601	0,88	-21,29	68,71	38,58	0,89	-0,95	-0,48	3,35	0,42	98,61	89,46	25	50,57	51,89	598	3,88	0	14	16,62	0	71,81	1078692	0	47,49	29,36	5,06	44,23	0	5	4,69	0	0,17	-0,14
21	Anjaw	0	0	0	NA	0	44,14	1,22	34,64	1,89	16,4	801	3,2604744	9257,994236	22,18	3,86	-1,53	0,7	-3,08	3,81	NA	11,3	-0,1601	3,52	-21,29	28,18	14,19	4,82	NA	-0,48	3,35	3,28	78,8	NA	458	47,2	54,36	1050	8,68	0	0	49,93	0	29,64	21167	0	49,81	NA	7,55	38,13	0	0	20,24	0	0	0
22	Anugul	0,72	2,82	81,86	20,91	0	47,56	62,82	21,65	3,19	11,96	133	198,5691376	5570,930664	15,34	3,21	-13,2	1,23	-2,42	2,55	0,78	9,36	-0,0352	6,4	-9,39	33,71	11,74	0,12	-0,45	-0,99	5,16	2,8	88,39	91,86	116	68,26	51,48	397	19,71	0	8	25,02	3	39,7	1273821	4	47,93	41,48	7,7	46,82	0	2	15,43	0	18,81	1,6
23	Anuppur	0,69	0,88	22,58	17,75	0	69,67	50,34	26,35	1,71	14,16	521	170,0492554	6768,611816	27,31	1,04	-8,93	0,81	-2,29	-0,25	-0,76	9,74	-0,2804	7,22	-16,95	30,98	12,3	5,74	5,78	0,62	2,23	3,28	86,58	87,42	203	58,27	50,6	713	17,22	0	13	33,78	0	33,78	749237	8	53,05	50,25	5,24	29,05	0	2	19,88	1	9,93	0,36
24	Araria	3,87	69,01	97,87	5,49	0	20,62	49,74	36,2	0,9	20,55	443	995,5980835	16085,04297	12,42	11,06	-3,95	0,44	-1,41	-0,4	-0,8	15,21	-0,2139	3,42	-23,1	41,76	30,25	0,26	0,37	0,99	2,57	1,16	97,97	97,95	1	42,53	52,05	418	5,7	0	117	30,73	0	42,88	2811569	5	26,2	23,48	3,19	14,49	0	62	14,32	0	13,61	0,01
25	Ariyalur	0,85	0,62	12,97	17,71	0	47,91	52,95	14,69	1,48	10,75	62	393,1739502	16731,82422	25,59	7,46	-5,97	0,7	-2,06	-2,04	-1,28	7,79	-0,2199	13,04	-32,1	64,41	8,54	9,75	7,03	-0,25	1,98	4,33	91,37	95,9	38	63,67	49,64	240	20,65	0	21	7,07	0	67,82	754894	5	27,59	20,63	6,09	23,82	0	3	21,8	0	23,34	1,6
26	Arwal	2,21	53,86	98,85	4,05	0	52,96	47,06	51,9	1,18	18,24	469	1183,856445	18572,76953	22,18	3,86	-6,57	0,7	-2,29	0,44	0,29	9,74	-0,2804	3,52	-16,95	46,81	19,23	0,89	-0,95	0,62	2,23	0,42	98,63	98,62	53	55,13	51,87	476	6,51	0	19	27,85	0	53,96	700843	0	49,73	41,12	3,34	17,99	0	62	8,75	0	20,16	0,96
27	Ashoknagar	0,2	0	0	NA	0	30,38	25,56	34,08	1,39	16,42	564	178,5487061	17896,3125	15,6	-4,04	-8,59	0,19	-3,08	0,44	0,29	9,74	-0,2804	7,55	-19,81	43,6	22,66	4,82	4,1	0,62	2,23	2,21	95,35	96,3	56	55,51	52,52	446	13,85	0	6	37,58	0	47,6	845071	3	39,16	35,03	4,51	24,1	0	0	15,57	0	20,8	0,96
28	Auraiya	1,01	0	0	NA	0	63,82	72,45	47,31	2,05	14,54	819	690,1175537	18710,41211	31,67	1,89	-7,92	0,89	-3,67	-0,66	-0,52	9,81	-0,2347	8,82	-10,2	58,58	16,91	0,92	-0,18	-0,49	1,73	0,68	96,67	97,67	18	67,47	53,64	308	14,39	0	18	12,62	1	61,24	1379545	4	32,99	25,07	4,38	27,95	0	0	9,88	0	28,39	0,69
29	Aurangabad	1,1	2,15	73,09	37,41	404192	44,4	39,94	31,86	1,61	14,39	249	362,9419556	17929,17383	1,82	14,14	-7,89	-1,03	-1,76	-2,03	-3,49	6,49	0,0321	-7,95	-12,7	42,96	27,76	6,23	4,1	0,78	1,72	0,12	78,84	75,37	95	67,65	51,99	274	8,04	1	42	27,33	18	52,13	3701282	9	33,95	27,11	7,08	39,61	445,769989	1	11,66	1	14,57	1,59
30	Aurangabad b	0,96	6,34	32	4,83	0	50,91	50,45	56,57	1,85	17,93	456	773,704834	18008,9375	24,3	5,87	-8,26	1,02	-1,87	0,08	-0,17	11,98	0,2055	5,25	-22	59,33	26,18	-3,61	-3,67	2,4	6,91	0,59	97,42	98,1	5	57,71	51,92	474	8,35	0	32	22,76	1	60,77	2540073	10	44,3	36,2	6,2	27,83	0	62	7,91	0	24,1	0,61
31	Azamgarh	1,1	5,75	42,15	8,07	0	80,85	78,95	66,11	3,15	15,3	651	1187,928223	18578,75977	31,16	0,3	-6,58	0,91	13,28	-0,06	0,11	14,64	0,0202	8,53	-7,86	72,45	17,11	-3,35	-4,72	2,53	8,84	0,47	98,12	98,89	78	60,08	49,52	640	17,6	0	46	6,96	2	75,83	4613913	6	38,58	28,2	8,06	36,03	0	5	5,97	0	25,39	-0,34
32	Badgam	6,98	17,35	99,37	39,97	0	53,87	10,09	73,13	5,13	20,59	1249	590,2466431	2073,434326	33,77	-2,23	-0,15	2,84	5,09	0,19	52,15	8,59	0,9976	1,85	-12,2	68,89	24,14	3,65	-20,4	-9,07	2,83	-0,67	98,81	85,48	18	44,53	52,81	634	5,89	1	10	11,82	0	72,77	753745	4	43,13	29,64	8,46	57,22	0	7	3,04	0	0,05	-0,03
33	Bagalkot	0,7	5,43	33,71	4,33	0	63,29	43,3	36,4	2,74	14,39	199	284,6011963	21303,64844	16,52	7,72	-7,16	1,15	-1,65	-2,19	-3,32	10,8	-0,2255	10,46	-19,8	58,95	14,4	-4,13	-2,65	1,04	3,99	0,15	80,78	85,93	106	58,92	50,28	330	19,49	0	51	18,6	0	65,93	1889752	5	30,39	21,87	8,98	38,95	0	5	11,95	0	16,89	1,72
34	Bageshwar	0,31	0	0	NA	0	82,17	1,69	29,58	1,99	13,68	1097	113,9403763	2085,285645	24,26	0,6	-8,25	1,15	-2,84	-0,61	-0,83	9,55	0,3302	2,41	-8,96	59,36	4,18	5,36	-0,22	1,32	1,44	2,62	93,39	94,9	157	69,06	47,84	297	3,47	0	1	26,73	0	61,28	259898	0	68,43	49,1	4,72	23,88	0	0	16,2	0	27,73	1,86
